,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aqua Metals Inc. (AQMS),17.1M,23.69,13.78,139.05
1,Greenwave Technology Solutions Inc. (GWAV),20.9M,16.15,7.64,89.76
2,Nova Minerals Ltd. ADR (NVA),5.7M,62.49,28.33,82.92
3,PMGC Holdings Inc. (ELAB),18.6M,8.45,3.24,62.19
4,Trilogy Metals Inc. (TMQ),108.6M,9.73,3.17,48.32
5,Astria Therapeutics Inc. (ATXS),19.9M,11.79,3.32,39.19
6,New Era Energy & Digital Inc. (NUAI),43.9M,3.22,0.87,36.82
7,a.k.a. Brands Holding Corp. (AKA),212.6K,14.02,3.59,34.42
8,Stardust Power Inc. (SDST),2.6M,6.8,1.66,32.3
9,American Resources Corp. (AREC),35.6M,6.39,1.41,28.31
10,Velo3D Inc. (VELO),1.4M,6.92,1.51,27.91
11,Royalty Management Holding Corp. (RMCO),360.6K,3.98,0.86,27.56
12,Rekor Systems Inc. (REKR),17.8M,2.65,0.57,27.4
13,Bluejay Diagnostics Inc. (BJDX),1.3M,3.63,0.78,27.37
14,Critical Metals Corp. (CRML),59.7M,29.56,6.28,26.99
15,Navitas Semiconductor Corp. (NVTS),96.3M,12.63,2.66,26.63
16,Nvni Group Ltd. (NVNI),796.9K,4.6,0.94,25.68
17,WISeKey International Holding Ltd. ADR (WKEY),1.9M,9.7,1.96,25.32
18,International Tower Hill Mines Ltd. (THM),3.2M,2.54,0.49,23.9
19,One & One Green Technologies Inc. (YDDL),653.7K,6.0,1.13,23.2
20,NET Power Inc. (NPWR),2.0M,4.83,0.9,22.9
21,Odyssey Marine Exploration Inc. (OMEX),6.7M,4.25,0.76,21.68
22,Telefon AB L.M. Ericsson Series B ADR (ERIC),44.0M,9.76,1.58,19.4
23,SCHMID Group N.V. (SHMD),75.1K,3.02,0.47,18.53
24,indie Semiconductor Inc. (INDI),7.8M,5.53,0.84,17.93
25,Volato Group Inc. (SOAR),4.7M,4.08,0.62,17.92
26,Orla Mining Ltd. (ORLA),7.1M,13.53,2.04,17.75
27,Arrive AI Inc. (ARAI),607.2K,5.77,0.86,17.49
28,Fluence Energy Inc. (FLNC),8.7M,18.64,2.75,17.31
29,SEALSQ Corp. (LAES),79.3M,7.16,1.03,16.75
30,Rocket Pharmaceuticals Inc. (RCKT),5.6M,4.04,0.56,16.28
31,Satellogic Inc. (SATL),3.3M,3.92,0.55,16.27
32,Kopin Corp. (KOPN),12.5M,3.94,0.55,16.22
33,Westwater Resources Inc. (WWR),27.3M,2.97,0.41,16.05
34,MDB Capital Holdings LLC (MDBH),50.7K,3.99,0.54,15.65
35,Beeline Holdings Inc. (BLNE),678.5K,3.41,0.46,15.45
36,Coya Therapeutics Inc. (COYA),1.1M,6.98,0.93,15.26
37,DigitalBridge Group Inc. (DBRG),5.5M,13.4,1.75,15.02
38,Avalon Holdings Corp. (AWX),188.8K,3.16,0.41,14.91
39,StableX Technologies Inc. (SBLX),8.5M,6.28,0.79,14.29
40,VisionWave Holdings Inc. (VWAV),255.7K,11.64,1.43,14.01
41,Arcturus Therapeutics Holdings Inc. (ARCT),462.7K,22.1,2.71,13.98
42,Cerence Inc. (CRNC),2.3M,12.86,1.55,13.75
43,FuelCell Energy Inc. (FCEL),7.0M,11.56,1.4,13.72
44,Jet.AI Inc. (JTAI),510.5K,3.12,0.38,13.64
45,Polaris Inc. (PII),2.3M,69.57,8.21,13.38
46,Almonty Industries Inc. (ALM),4.8M,9.78,1.14,13.14
47,Streamex Corp. (STEX),1.6M,5.77,0.65,12.75
48,Comstock Inc. (LODE),2.5M,4.37,0.49,12.68
49,Aeluma Inc. (ALMU),227.4K,19.61,2.19,12.57
50,Oruka Therapeutics Inc. (ORKA),528.6K,28.68,3.17,12.45
51,TransCode Therapeutics Inc. (RNAZ),92.2K,15.18,1.66,12.28
52,Tetra Technologies Inc. (TTI),3.1M,6.96,0.76,12.26
53,Hang Feng Technology Innovation Co. Ltd. (FOFO),159.7K,18.2,1.98,12.21
54,Cemtrex Inc. (CETX),369.8K,5.93,0.63,11.89
55,Lightpath Technologies Inc. Cl A (LPTH),1.3M,9.94,1.04,11.69
56,Ballard Power Systems Inc. (BLDP),7.8M,3.9,0.41,11.6
57,LivePerson Inc. (LPSN),368.9K,6.45,0.67,11.59
58,Edible Garden AG Inc. (EDBL),75.7K,2.24,0.23,11.37
59,Solid Power Inc. (SLDP),17.1M,7.01,0.71,11.27
60,Albertsons Cos. Inc. (ACI),12.7M,18.86,1.91,11.24
61,K Wave Media Ltd. (KWM),334.6K,2.97,0.3,11.24
62,Stem Inc. (STEM),327.3K,26.28,2.6,11.0
63,Spring Valley Acquisition Corp. II Cl A (SVII),352.7K,14.07,1.39,10.96
64,HCM II Acquisition Corp. Cl A (HOND),1.7M,23.26,2.26,10.75
65,Heritage Insurance Holdings Inc. (HRTG),714.0K,27.86,2.69,10.69
66,Shoals Technologies Group Inc. (SHLS),3.3M,10.23,0.98,10.59
67,Leishen Energy Holding Co. Ltd. (LSE),56.8K,5.85,0.55,10.38
68,Canadian Solar Inc. (CSIQ),2.3M,15.66,1.47,10.36
69,ATAI Life Sciences N.V. (ATAI),5.3M,5.94,0.55,10.09
70,American Battery Technology Co. (ABAT),25.1M,10.15,0.94,10.14
71,TeraWulf Inc. (WULF),40.3M,15.41,1.41,10.07
72,Tronox Holdings PLC (TROX),3.8M,4.0,0.36,10.06
73,Idaho Strategic Resources Inc. (IDR),712.3K,53.69,4.88,10.0
74,United States Antimony Corp. (UAMY),38.4M,18.33,1.62,9.69
75,Q/C Technologies Inc. (QCLS),283.2K,4.27,0.38,9.77
76,MARA Holdings Inc. (MARA),36.6M,22.18,1.94,9.56
77,Erayak Power Solution Group Inc. (RAYA),73.2K,7.11,0.62,9.55
78,Spyre Therapeutics Inc. (SYRE),2.5M,20.72,1.8,9.52
79,Applied Digital Corp. (APLD),28.5M,37.49,3.25,9.49
80,Energy Fuels Inc. (UUUU),40.2M,26.02,2.25,9.47
81,Kandal M Venture Ltd. Cl A (FMFC),258.8K,10.12,0.87,9.41
82,Banzai International Inc. (BNZI),481.6K,3.24,0.28,9.29
83,Energy Vault Holdings Inc. (NRGV),2.9M,4.1,0.34,9.2
84,Spruce Biosciences Inc. (SPRB),78.2K,173.47,14.46,9.09
85,Lithium Americas Corp. (LAC),82.4M,9.2,0.77,9.08
86,Soluna Holdings Inc. (SLNH),5.8M,2.46,0.2,8.85
87,Innoviz Technologies Ltd. (INVZ),8.4M,2.37,0.19,8.82
88,Jack in the Box Inc. (JACK),757.6K,19.33,1.55,8.71
89,Lulu's Fashion Lounge Holdings Inc. (LVLU),57.8K,6.0,0.48,8.7
90,Apyx Medical Corp. (APYX),161.8K,3.26,0.26,8.59
91,Inventiva S.A. ADR (IVA),81.9K,5.0,0.4,8.57
92,Evaxion A/S ADR (EVAX),199.2K,6.79,0.53,8.47
93,Knightscope Inc. (KSCP),600.6K,6.62,0.52,8.43
94,Papa John's International Inc. (PZZA),2.0M,49.44,3.83,8.38
95,Xcel Brands Inc. (XELB),76.8K,2.23,0.17,8.25
96,Cyngn Inc. (CYN),22.3M,5.95,0.45,8.18
97,Ubiquiti Inc. (UI),145.2K,743.0,56.15,8.18
98,Acurx Pharmaceuticals Inc. (ACXP),98.5K,7.74,0.58,8.17
99,Spectral AI Inc. (MDAI),936.3K,2.39,0.18,8.14
