,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,NVTS,Navitas Semiconductor Corporation,,12.62 +2.65 (+26.59%),2.65,+26.59%,98.166M,29.847M,2.689B,--,+297.21%,1.52 12.68
1,CRML,Critical Metals Corp.,,29.45 +6.17 (+26.56%),6.17,+26.56%,60.634M,10.922M,3.148B,--,+239.36%,1.23 30.48
2,ERIC,Telefonaktiebolaget LM Ericsson (publ),,9.77 +1.60 (+19.65%),1.6,+19.65%,44.59M,13.158M,32.664B,18.10,-4.22%,6.64 9.78
3,FLNC,"Fluence Energy, Inc.",,18.64 +2.75 (+17.31%),2.75,+17.31%,8.901M,5.7M,3.402B,--,-25.40%,3.46 24.00
4,ORLA,Orla Mining Ltd.,,13.59 +2.10 (+18.23%),2.1,+18.23%,7.472M,2.208M,4.426B,194.07,+143.43%,3.81 13.62
5,DBRG,"DigitalBridge Group, Inc.",,13.43 +1.78 (+15.28%),1.78,+15.28%,5.765M,2.102M,2.613B,1343.00,-24.60%,6.41 17.33
6,ALM,Almonty Industries Inc.,,9.80 +1.16 (+13.43%),1.16,+13.43%,4.941M,1.284M,2.129B,--,+453.31%,1.17 9.88
7,PII,Polaris Inc.,,69.31 +7.95 (+12.96%),7.95,+12.96%,2.403M,1.42M,3.897B,--,-24.62%,30.92 84.08
8,ACI,"Albertsons Companies, Inc.",,18.91 +1.96 (+11.56%),1.96,+11.56%,12.999M,6.373M,10.587B,11.53,-8.13%,16.70 23.20
9,WULF,TeraWulf Inc.,,15.41 +1.41 (+10.08%),1.41,+10.08%,40.79M,47.826M,6.32B,--,+203.69%,2.06 15.59
10,APLD,Applied Digital Corporation,,37.48 +3.24 (+9.45%),3.24,+9.45%,29.001M,32.722M,10.483B,--,+369.04%,3.31 39.33
11,MARA,"MARA Holdings, Inc.",,22.17 +1.93 (+9.50%),1.93,+9.50%,37.887M,55.999M,8.211B,11.92,+19.62%,9.81 30.28
12,UUUU,Energy Fuels Inc.,,26.04 +2.27 (+9.55%),2.27,+9.55%,41.108M,17.76M,6.007B,--,+315.56%,3.20 26.09
13,LAC,Lithium Americas Corp.,,9.19 +0.76 (+8.99%),0.76,+8.99%,84.221M,33.273M,2.271B,--,+215.73%,2.31 9.70
14,UI,Ubiquiti Inc.,,743.62 +56.77 (+8.27%),56.77,+8.27%,152794,168292,44.988B,63.29,+185.18%,239.33 743.62
15,BITF,Bitfarms Ltd.,,5.83 +0.44 (+8.16%),0.44,+8.16%,138.023M,60.297M,3.222B,--,+191.35%,0.67 5.89
16,VOYG,"Voyager Technologies, Inc.",,35.23 +2.49 (+7.62%),2.49,+7.62%,516203,942217,2.078B,--,-42.03%,26.10 73.95
17,PGY,Pagaya Technologies Ltd.,,30.10 +2.13 (+7.62%),2.13,+7.62%,3.571M,4.367M,2.306B,--,+157.79%,8.20 44.99
18,ASTS,"AST SpaceMobile, Inc.",,97.53 +7.03 (+7.76%),7.03,+7.76%,8.355M,12.057M,35.253B,--,+273.20%,17.50 97.56
19,ALVO,Alvotech,,8.55 +0.58 (+7.28%),0.58,+7.28%,355181,406150,2.664B,37.17,-36.24%,7.35 13.70
20,POWI,"Power Integrations, Inc.",,46.17 +3.02 (+7.00%),3.02,+7.00%,3.368M,743035,2.59B,78.25,-31.55%,34.55 69.53
21,WFC,Wells Fargo & Company,,84.51 +5.59 (+7.08%),5.59,+7.08%,18.284M,15.052M,270.723B,14.52,+25.21%,58.42 86.66
22,KEP,Korea Electric Power Corporation,,13.59 +0.89 (+7.01%),0.89,+7.01%,347229,488964,17.449B,3.95,+69.33%,6.68 15.19
23,DLO,DLocal Limited,,15.19 +0.99 (+6.97%),0.99,+6.97%,2.756M,2.593M,4.461B,31.65,+59.73%,7.61 16.44
24,RBLX,Roblox Corporation,,137.07 +8.83 (+6.89%),8.83,+6.89%,4.76M,8.528M,95.023B,--,+214.62%,39.30 150.59
25,SOUN,"SoundHound AI, Inc.",,20.43 +1.29 (+6.74%),1.29,+6.74%,36.573M,60.866M,8.329B,--,+260.45%,4.86 24.98
26,CLSK,"CleanSpark, Inc.",,21.38 +1.34 (+6.69%),1.34,+6.69%,29.829M,26.345M,6.01B,24.86,+78.45%,6.45 22.12
27,BTU,Peabody Energy Corporation,,35.60 +2.18 (+6.52%),2.18,+6.52%,3.758M,5.455M,4.329B,32.66,+31.47%,9.61 35.85
28,ZGN,Ermenegildo Zegna N.V.,,9.31 +0.55 (+6.34%),0.55,+6.34%,886726,818456,2.367B,21.66,+7.75%,6.05 10.38
29,ALLY,Ally Financial Inc.,,40.16 +2.29 (+6.05%),2.29,+6.05%,2.365M,3.252M,12.362B,38.62,+8.29%,29.52 44.83
30,NXE,NexGen Energy Ltd.,,9.52 +0.54 (+5.96%),0.54,+5.96%,7.924M,8.259M,5.909B,--,+23.52%,3.91 9.53
31,IREN,IREN Limited,,67.85 +3.71 (+5.78%),3.71,+5.78%,27.553M,33.889M,18.454B,173.97,+634.71%,5.13 70.05
32,CAR,"Avis Budget Group, Inc.",,158.37 +8.89 (+5.95%),8.89,+5.95%,236367,944515,5.574B,--,+92.95%,54.03 212.81
33,DRVN,Driven Brands Holdings Inc.,,16.01 +0.88 (+5.82%),0.88,+5.82%,659857,968943,2.63B,--,+4.42%,13.93 19.74
34,VSAT,"Viasat, Inc.",,36.65 +1.95 (+5.61%),1.95,+5.61%,986689,3.871M,4.92B,--,+222.49%,6.69 36.68
35,HTFL,"Heartflow, Inc.",,35.03 +1.81 (+5.45%),1.81,+5.45%,134577,480673,2.921B,--,+10.77%,28.27 39.24
36,SYM,Symbotic Inc.,,74.28 +3.77 (+5.35%),3.77,+5.35%,1.469M,2.219M,43.862B,--,+144.57%,16.32 74.72
37,JOBY,"Joby Aviation, Inc.",,17.65 +0.88 (+5.23%),0.88,+5.23%,27.529M,40.852M,15.724B,--,+209.41%,4.80 20.95
38,RSI,"Rush Street Interactive, Inc.",,19.89 +0.99 (+5.21%),0.99,+5.21%,506136,1.66M,4.542B,94.69,+71.51%,9.54 22.65
39,RYTM,"Rhythm Pharmaceuticals, Inc.",,105.59 +4.82 (+4.78%),4.82,+4.78%,267428,594978,7.013B,--,+99.90%,45.91 106.52
40,RKLB,Rocket Lab Corporation,,68.85 +3.43 (+5.24%),3.43,+5.24%,14.947M,23.439M,33.321B,--,+558.15%,9.48 73.50
41,TOST,"Toast, Inc.",,37.62 +1.78 (+4.97%),1.78,+4.97%,3.978M,8.657M,21.932B,96.46,+24.75%,28.05 49.66
42,ADMA,"ADMA Biologics, Inc.",,15.28 +0.73 (+5.02%),0.73,+5.02%,1.564M,3.295M,3.646B,17.98,-12.24%,13.50 25.67
43,SAH,"Sonic Automotive, Inc.",,75.50 +3.64 (+5.07%),3.64,+5.07%,53774,211951,2.578B,16.74,+30.94%,52.00 89.62
44,YETI,"YETI Holdings, Inc.",,33.75 +1.55 (+4.81%),1.55,+4.81%,501252,2.03M,2.741B,16.15,-22.20%,26.61 45.25
45,ARX,Accelerant Holdings,,14.69 +0.64 (+4.59%),0.64,+4.59%,400962,1.777M,3.233B,73.47,-46.98%,12.88 31.18
46,OWL,Blue Owl Capital Inc.,,16.88 +0.75 (+4.69%),0.75,+4.69%,5.095M,8.858M,26.148B,153.41,-25.95%,14.55 26.73
